Feature,Coefficient,Odds Ratio
Account length,0.06900535516446003,1.0714
Area code,-0.07246291077192206,0.9301
Number vmail messages,0.14051765055631746,1.1509
Total day minutes,0.39643921336860416,1.4865
Total day calls,0.08695649128648146,1.0908
Total day charge,0.3957541732728159,1.4855
Total eve minutes,0.15918034060590758,1.1725
Total eve calls,-0.017312878367590948,0.9828
Total eve charge,0.15808404743349136,1.1713
Total night minutes,0.10326462870537556,1.1088
Total night calls,0.040302759751396945,1.0411
Total night charge,0.10412137333283583,1.1097
Total intl minutes,0.14160797278536505,1.1521
Total intl calls,-0.3359918939790173,0.7146
Total intl charge,0.1496377770591758,1.1614
Customer service calls,0.8278544294375795,2.2884
State_AL,-0.05537894123136363,0.9461
State_AR,0.10538211404769626,1.1111
State_AZ,-0.0650516275369985,0.937
State_CA,0.06981898575958516,1.0723
State_CO,0.0015492742251321631,1.0016
State_CT,0.09698220246454382,1.1018
State_DC,0.07650467701111757,1.0795
State_DE,-0.04493668537541098,0.9561
State_FL,0.028413800889065442,1.0288
State_GA,0.06226944197459873,1.0642
State_HI,-0.10983129622765912,0.896
State_IA,-0.02727401637600609,0.9731
State_ID,-0.07134934204270629,0.9311
State_IL,-0.06759163694134757,0.9346
State_IN,0.01125999762264493,1.0113
State_KS,0.07552041487762898,1.0784
State_KY,0.019395038388362696,1.0196
State_LA,0.03307276270082601,1.0336
State_MA,0.1077693788636989,1.1138
State_MD,0.09953922874699797,1.1047
State_ME,0.14721325432841223,1.1586
State_MI,0.1902461560838753,1.2095
State_MN,0.17637115864763175,1.1929
State_MO,-0.012268191642812216,0.9878
State_MS,0.17301127788215798,1.1889
State_MT,0.21195256164917778,1.2361
State_NC,-0.07910906078621498,0.9239
State_ND,0.02502457544202695,1.0253
State_NE,-0.04862674217838635,0.9525
State_NH,0.1214129703769601,1.1291
State_NJ,0.17437637417226687,1.1905
State_NM,-0.011453570680431215,0.9886
State_NV,0.12272865253934968,1.1306
State_NY,0.1509804007190013,1.163
State_OH,0.12088325843661918,1.1285
State_OK,-0.10814821683686557,0.8975
State_OR,0.06594256173239682,1.0682
State_PA,0.11791117644876983,1.1251
State_RI,-0.16382684449656176,0.8489
State_SC,0.1726928237822557,1.1885
State_SD,0.04118708239380943,1.042
State_TN,-0.0036555215765414267,0.9964
State_TX,0.27610628189065267,1.318
State_UT,0.09652079682445704,1.1013
State_VA,-0.14137050341318558,0.8682
State_VT,-0.04288817584128985,0.958
State_WA,0.16029707250668787,1.1739
State_WI,-0.09140803314724473,0.9126
State_WV,-0.01689662653301,0.9832
State_WY,-0.0072981808457042874,0.9927
International plan_Yes,0.7649117547665691,2.1488
Voice mail plan_Yes,-0.603332634286863,0.547
