Feature,Importance
Customer service calls,0.13874247308509874
Total day minutes,0.1358851308569678
Total day charge,0.1326040148409492
International plan_Yes,0.09874534390471618
Total eve minutes,0.044998277136923163
Total eve charge,0.044542181811197984
Total intl charge,0.039625720788294905
Total intl minutes,0.036824903997603936
Total night minutes,0.0336807812210239
Total intl calls,0.03300556370133778
Total night charge,0.03221023849398309
Total night calls,0.0279789412812066
Number vmail messages,0.027545052807958333
Total day calls,0.026900881465743657
Account length,0.026825652507031544
Total eve calls,0.02562189406514409
Voice mail plan_Yes,0.01590402898517187
Area code,0.007529808493238601
State_TX,0.004617017007939949
State_NJ,0.002895606378883481
State_ME,0.002830640173968827
State_MS,0.0026628718901619474
State_VA,0.0025712149293931966
State_MT,0.0023072622125841803
State_MI,0.0021404986633351635
State_DC,0.0020772351136787294
State_OH,0.002049505729273111
State_SC,0.001981444505754404
State_NY,0.0018845527781732859
State_IN,0.0018046318601948393
State_WV,0.0017394866146924544
State_WY,0.0016184907677782125
State_AR,0.0015398798394249717
State_MA,0.001527534331736716
State_NM,0.00144931889362406
State_WA,0.0014264773909665202
State_UT,0.001421123986226837
State_NC,0.0013796580429315348
State_GA,0.001377018158719075
State_AL,0.0013397853807272035
State_NH,0.0012762279497299694
State_RI,0.001265193935654841
State_MN,0.00124667236182641
State_MD,0.0012452903247092736
State_KS,0.0012300490198127677
State_FL,0.001227281551417537
State_SD,0.0011895344830881423
State_NV,0.0011405612523072734
State_CO,0.0011310337988424254
State_OR,0.0011309108785568297
State_CT,0.0010874119645542157
State_WI,0.0010402256494951325
State_ND,0.0009914552492314203
State_IL,0.000956098014889513
State_OK,0.0009348721797796439
State_HI,0.0009055842270141665
State_NE,0.0008827884596755157
State_AZ,0.0008347461392836684
State_LA,0.0008140065216550869
State_ID,0.00079646174887039
State_CA,0.0007475071427480705
State_VT,0.0007405340812281899
State_DE,0.0007172287504170012
State_PA,0.000683468230314294
State_KY,0.0005935869116963186
State_IA,0.00055036218389995
State_TN,0.0004370944741964053
State_MO,0.0003916684213453748
